nm0765946	Fred Sassebo	1945
nm1960093	Kichirô Tsuji	1892
nm1449481	Ileana Carrizo	1974
nm1670277	Kôji Kiryû	1965
nm0406071	Jesper Høm	1931
nm0740521	John B. Root	1958
nm2395722	Reinhold Bilgeri	1950
nm0196685	Xhezair Dafa	1940
nm2270901	Krishto D. Alam	1976
nm0437717	Garson Kanin	1912
nm1541183	Noriaki Saitô	1970
nm0105774	Harald Braun	1901
nm0446819	Richard Kelly	1975
nm0767110	Claude Sautet	1924
nm9245819	Manju Bharti	1983
nm0469429	Naum Kramarenco	1923
nm0434392	Haruki Kadokawa	1942
nm1122077	Harsh Chhaya	1970
nm0438905	Mirjana Karanovic	1957
nm2275589	Dan Rocque	1985
nm0223505	Rabindra Dharmaraj	1946
nm2019600	Mahdi Fleifel	1979
nm1839784	Gekidan Hitori	1977
nm0948000	Cem Yilmaz	1973
nm2161296	Dumitru Fernoaga	1931
nm3025400	Shawn C. Phillips	1985
nm8884253	Johnny Sweet	1981
nm0519906	João Lopes	1954
nm0399088	Patrick Huard	1969
nm1533068	Ximo Solano	1967
nm0033509	Domiziano Arcangeli	1968
nm2076015	Jui-Yuan Tsao	1961
nm1137289	Brillante Mendoza	1960
nm0405107	Anna Hylander	1973
nm3427646	Johan Carlsen	1978
nm0879261	Vili Tzankov	1924
nm0451170	Arbaaz Khan	1967
nm0047150	Bert Bailey	1868
nm0006853	Tim Hunter	1947
nm3337931	Pavel Soukup	1990
nm0947681	Yves Yersin	1942
nm8430934	Nitesh Tiwari	1994
nm0934643	Frank Zee	1935
nm4700258	Warren Lewis Allen	1984
nm3901401	Isaac Cherem	1992
nm0320274	Jean Giono	1895
nm3363032	Ryan Coogler	1986
nm2671390	Alamgir	1950
nm0946958	Lazar Yazicioglu	1897
nm4161630	T.L. Westgate	1968
nm0938464	Louis Wolheim	1880
nm0378573	John Herbert	1929
nm0459801	Werner Klingler	1903
nm0626136	Robert Neppach	1890
nm0003971	David Stephens	1948
nm0374925	Oliver Held	1970
nm2263033	Philipp J. Pamer	1985
nm9576083	Chris Worthington	1997
nm0330456	Michael Gordon	1909
nm0684154	Kan-Ping Yu	1950
nm0314705	Gene Gerrard	1892
nm0225164	Brandon DiCamillo	1976
nm0640496	Willy Roe	1944
nm0394524	Charles Horan	1886
nm1516376	Yoav Shamir	1970
nm3113939	Liis Nimik	1979
nm0114970	Bud Browne	1912
nm1231306	Gabriele Albanesi	1978
nm0454734	George King	1899
nm1018307	Pavel Kostomarov	1975
nm2756883	Esfandiar Ahmadie	1929
nm0333641	Gustavo Graef Marino	1955
nm0346598	Sandra Gugliotta	1969
nm0657122	Jaakko Pakkasvirta	1934
nm0686102	Veronica Pivetti	1965
nm0374656	Thomas Heise	1955
nm0657853	Rospo Pallenberg	1939
nm9159973	Vin Arfuso	1992
nm3224748	Daniel J. Ricottone	1986
nm4981904	Nelson Carlo de Los Santos Arias	1985
nm0071165	Dominique Benicheti	1943
nm1760796	Ünal Küpeli	1945
nm3770779	Anthony B. Harris	1969
nm2066013	David Giovannoni	1978
nm0368645	Jannik Hastrup	1941
nm0020717	Keith Allen	1953
nm0456080	Erden Kiral	1942
nm0504641	François Leterrier	1929
nm0682881	Antonio Pietrangeli	1919
nm0041604	Michael Audley	1913
nm0000559	Leonard Nimoy	1931
nm1747765	Urmas E. Liiv	1966
nm1000287	Georgis Agathonikiadis	1947
nm5533999	Zhengyu Lu	1983
nm0291573	Wendell Franklin	1916
